Title,Price,Description,Origin,Weight,Size,Category
SANTA MARGHERITA PINOT GRIGIO DOC 750ML,"LKR 8,900.00","A crisp, dry Italian white wine with notes of apple, citrus, and subtle floral hints. Refreshing and elegant—perfect with seafood, salads, or on its own.",-,-,750ML,White Wine
ROTHBURY ESTATE SAUVIGNON BLANC 750ML,"LKR 4,200.00","Rothbury Estate Sauvignon Blanc is a refreshing Australian white wine that highlights vibrant fruit flavors and crisp acidity. Crafted from select vineyards, it offers a delightful balance of tropical and citrus notes, making it an excellent choice for various occasions.",-,-,750ML,White Wine
BILLECART – SALMON ROSE BRUT 750 ML,"LKR 34,900.00","Billecart-Salmon Brut Rosé is an exquisite expression of elegance and finesse, crafted from a precise blend of Chardonnay, Pinot Noir, and Pinot Meunier. This iconic rosé Champagne showcases a delicate salmon-pink hue with fine, persistent bubbles. On the nose, it offers fresh red berry aromas, citrus zest, and floral hints, leading to a refined palate with notes of ripe raspberries, wild strawberries, and a touch of brioche. With a silky texture and balanced acidity, this Champagne delivers a crisp, refreshing finish, making it perfect for celebrations, fine dining, or a luxurious toast.",-,-,750ML,White Wine
BILLECART – SALMON RESERVE BRUT 750 ML,"LKR 25,900.00","Billecart-Salmon Brut Réserve is a refined and elegant Champagne, expertly crafted from a harmonious blend of Pinot Noir, Chardonnay, and Pinot Meunier. With an ABV of approximately 12%, this cuvée showcases delicate bubbles, fresh floral aromas, and vibrant citrus notes, complemented by subtle brioche and almond undertones. Its balanced acidity and smooth, lingering finish make it a perfect choice for celebrations or as an accompaniment to fine cuisine.",-,-,750ML,White Wine
Aussières Chardonnay Pays IGP D’oc,"LKR 5,100.00","Château d’Aussières Chardonnay Pays d’Oc 2021 is a beautifully expressive white wine that embodies the elegance of the Languedoc region. It boasts a bright, clear appearance with pale yellow and green glints. The nose is rich and inviting, offering aromas of white fruit and citrus, delicately intertwined with almond blossom and pink grapefruit. On the palate, this Chardonnay is round, fresh, and vibrant, featuring a lively acidity with subtle mentholated and aniseed notes. A distinctive minerality and crisp freshness define its character, making it a refined and refreshing choice for any occasion.",-,-,Unspecified,White Wine
AMANCAYA MALBEC CARBERNET SAUVIGNON 750 ML,"LKR 8,900.00","Amancaya Malbec-Cabernet Sauvignon is a beautifully balanced red wine, crafted through the collaboration of Domaines Barons de Rothschild (Lafite) and Bodegas Caro in Argentina’s Mendoza region. This blend harmoniously combines the bold, dark fruit intensity of Malbec with the structure and elegance of Cabernet Sauvignon. Deep ruby in color, it offers aromas of ripe blackberries, plums, and cassis, complemented by hints of vanilla, spice, and subtle oak. On the palate, it is rich and full-bodied, with smooth tannins, balanced acidity, and a lingering, velvety finish. Perfect for pairing with grilled meats, hearty stews, or aged cheeses.",-,-,750ML,Red Wine
ARUMA MALBEC 750 ML,"LKR 6,900.00","Aruma Malbec is a bold and expressive Argentine wine crafted by Bodegas Caro, a collaboration between Domaines Barons de Rothschild (Lafite) and Bodega Catena Zapata. Made from 100% Malbec grapes sourced from high-altitude vineyards in Mendoza, this wine showcases deep purple hues and intense aromas of ripe blackberries, plums, and floral notes. On the palate, it is fresh and velvety, with well-balanced acidity, soft tannins, and a long, elegant finish. With no oak aging, Aruma retains the pure expression of Malbec’s fruit character, making it a perfect choice for pairing with grilled meats, pasta, and aged cheeses.",-,-,750ML,Red Wine
LA VIEILLE FERME BLANC 750ML,"LKR 5,100.00",French white wine from the Southern Rhône Valley,-,-,750ML,White Wine
HARDY’S STAMP CHARDONNAY SEMILLON 750 ML,"LKR 4,100.00","Hardy’s Stamp Chardonnay Semillon is a beautifully balanced white wine with fresh citrus and tropical fruit flavors. The Chardonnay adds richness and smoothness, while the Semillon brings crisp acidity and a refreshing finish. Perfect for pairing with seafood, salads, or light pasta dishes.",-,-,750ML,White Wine
TAYLORS FINE RUBY 750 ML,"LKR 6,900.00","Taylor’s Fine Ruby Port is a vibrant, full-bodied fortified wine produced by Taylor Fladgate, one of the oldest and most respected Port houses in Portugal, established in 1692. This ruby-style Port is known for its depth of fruit, youthful freshness, and consistent quality, making it a favorite choice for both new and experienced Port lovers.",-,-,750ML,Fortified Wine
ROTHBURY ESTATE SEMILLON SAUVIGNON BLANC 750ML,"LKR 4,300.00","Rothbury Estate Semillon Sauvignon Blanc is a crisp, refreshing Australian white wine from the renowned Hunter Valley. This blend offers a perfect balance of Semillon’s citrusy freshness and Sauvignon Blanc’s tropical flair.",-,-,750ML,White Wine
TORRESELLA PINOT GRIGIO ROSE 750 ML,"LKR 5,500.00","Torresella Pinot Grigio Rosé 750ml is a light and refreshing Italian rosé with delicate aromas of pear, peach, and floral notes. Its crisp acidity and smooth finish make it an ideal pairing with seafood, salads, or as a refreshing aperitif.",-,-,750ML,White Wine
TORRES ALTOS IBERICOS CRIANZA,"LKR 6,700.00","Torres Altos Ibéricos Crianza is a modern expression of Rioja crafted by Familia Torres. This wine offers a contemporary take on the classic Tempranillo, delivering a bright and elegant profile with refined oak influence.",-,-,Unspecified,Red Wine
HUGEL RIESLING 750ML,"LKR 10,100.00","Hugel Riesling is a dry, elegant white wine from Alsace, France, crafted by the renowned Hugel family. This wine offers vibrant aromas of citrus zest, elderflower, and lily of the valley, complemented by a crisp, mineral-driven palate. With its bright acidity and fresh finish, Hugel Riesling is an excellent companion to seafood, poultry, and light salads. Its refined character makes it a versatile choice for various occasions.",-,-,750ML,White Wine
HUGEL GENTIL (ALSATIAN BLEND ) 750 ML,"LKR 6,400.00","Hugel Gentil is a refined Alsatian white blend from Famille Hugel, crafted from hand-harvested grapes in the clay and limestone soils around Riquewihr. This wine brings together the aromatic complexity of Gewurztraminer, the body of Pinot Gris, the finesse of Riesling, the grapiness of Muscat, and the refreshing character of Sylvaner and Pinot Blanc",-,-,750ML,White Wine
